cty;reg
AFG;"Low income"
AGO;"LoM income"
ALB;"UppM income"
ARG;"UppM income"
ARM;"UppM income"
AUS;"High income"
AUT;"High income"
AZE;"UppM income"
BDI;"Low income"
BEN;"LoM income"
BFA;"Low income"
BGD;"LoM income"
BGR;"High income"
BLR;"UppM income"
BLT;"UppM income"
BLX;"High income"
BLZ;"UppM income"
BOL;"LoM income"
BRA;"UppM income"
BTN;"LoM income"
BWA;"UppM income"
CAF;"Low income"
CAN;"High income"
CHL;"High income"
CHM;"UppM income"
CHP;"High income"
CIV;"LoM income"
CMR;"LoM income"
COD;"Low income"
COG;"LoM income"
COL;"UppM income"
CRB;"LoM income"
CRI;"UppM income"
CUB;"UppM income"
CYP;"High income"
CZE;"High income"
DEU;"High income"
DJI;"LoM income"
DNK;"High income"
DOM;"UppM income"
DZA;"UppM income"
ECU;"UppM income"
EGY;"LoM income"
ERI;"Low income"
ETH;"Low income"
FJI;"UppM income"
FNP;"High income"
FRP;"High income"
GAB;"UppM income"
GEO;"UppM income"
GHA;"LoM income"
GIN;"LoM income"
GMB;"Low income"
GNB;"Low income"
GNQ;"UppM income"
GRC;"High income"
GRL;"High income"
GSA;"Low income"
GTM;"UppM income"
HND;"LoM income"
HRV;"High income"
HTI;"LoM income"
HUN;"High income"
IDN;"UppM income"
IND;"LoM income"
IRL;"High income"
IRN;"UppM income"
IRQ;"UppM income"
ISL;"High income"
ISR;"High income"
ITP;"High income"
JAM;"UppM income"
JOR;"LoM income"
JPN;"High income"
KAZ;"UppM income"
KEN;"LoM income"
KGZ;"LoM income"
KHM;"LoM income"
KOR;"High income"
LAO;"LoM income"
LBN;"LoM income"
LBR;"Low income"
LBY;"UppM income"
LKA;"LoM income"
LSO;"LoM income"
MDA;"UppM income"
MDG;"Low income"
MEX;"UppM income"
MLI;"Low income"
MMR;"LoM income"
MNG;"UppM income"
MOR;"LoM income"
MOZ;"Low income"
MRT;"LoM income"
MWI;"Low income"
MYS;"UppM income"
NAM;"UppM income"
NER;"Low income"
NGA;"LoM income"
NIC;"LoM income"
NLD;"High income"
NOR;"High income"
NPL;"LoM income"
NZL;"High income"
OAO;"Low income"
OBN;"LoM income"
OIO;"LoM income"
OPO;"LoM income"
OSA;"LoM income"
PAK;"LoM income"
PAN;"High income"
PER;"UppM income"
PHL;"LoM income"
PNG;"LoM income"
POL;"High income"
PRK;"Low income"
PRT;"High income"
PRY;"UppM income"
PSE;"LoM income"
RAP;"LoM income"
ROU;"High income"
RUS;"High income"
RWA;"Low income"
SAU;"High income"
SDN;"Low income"
SEN;"LoM income"
SLB;"LoM income"
SLE;"Low income"
SLV;"UppM income"
SOM;"Low income"
SPP;"High income"
SVK;"High income"
SVN;"High income"
SWE;"High income"
SWZ;"LoM income"
SYR;"Low income"
TCD;"Low income"
TGO;"Low income"
THA;"UppM income"
TJK;"LoM income"
TKM;"UppM income"
TLS;"LoM income"
TUN;"LoM income"
TUR;"UppM income"
TZA;"LoM income"
UGA;"Low income"
UKP;"High income"
UKR;"UppM income"
URY;"High income"
USA;"High income"
UZB;"LoM income"
VEN;"Low income"
VNM;"LoM income"
VUT;"LoM income"
YEM;"Low income"
ZAF;"UppM income"
ZMB;"LoM income"
ZWE;"LoM income"
AFG;LIC
AGO;LIC
ALB;HIC
ARG;HIC
ARM;HIC
AUS;HIC
AUT;HIC
AZE;HIC
BDI;LIC
BEN;LIC
BFA;LIC
BGD;LIC
BGR;HIC
BLR;HIC
BLT;HIC
BLX;HIC
BLZ;HIC
BOL;LIC
BRA;HIC
BTN;LIC
BWA;HIC
CAF;LIC
CAN;HIC
CHL;HIC
CHM;HIC
CHP;HIC
CIV;LIC
CMR;LIC
COD;LIC
COG;LIC
COL;HIC
CRB;LIC
CRI;HIC
CUB;HIC
CYP;HIC
CZE;HIC
DEU;HIC
DJI;LIC
DNK;HIC
DOM;HIC
DZA;HIC
ECU;HIC
EGY;LIC
ERI;LIC
ETH;LIC
FJI;HIC
FNP;HIC
FRP;HIC
GAB;HIC
GEO;HIC
GHA;LIC
GIN;LIC
GMB;LIC
GNB;LIC
GNQ;HIC
GRC;HIC
GRL;HIC
GSA;LIC
GTM;HIC
HND;LIC
HRV;HIC
HTI;LIC
HUN;HIC
IDN;HIC
IND;LIC
IRL;HIC
IRN;HIC
IRQ;HIC
ISL;HIC
ISR;HIC
ITP;HIC
JAM;HIC
JOR;LIC
JPN;HIC
KAZ;HIC
KEN;LIC
KGZ;LIC
KHM;LIC
KOR;HIC
LAO;LIC
LBN;LIC
LBR;LIC
LBY;HIC
LKA;LIC
LSO;LIC
MDA;HIC
MDG;LIC
MEX;HIC
MLI;LIC
MMR;LIC
MNG;HIC
MOR;LIC
MOZ;LIC
MRT;LIC
MWI;LIC
MYS;HIC
NAM;HIC
NER;LIC
NGA;LIC
NIC;LIC
NLD;HIC
NOR;HIC
NPL;LIC
NZL;HIC
