cty;reg
AFG;SAS
AFG;WLD
AFG;DVG
AGO;SSA
AGO;WLD
AGO;DVG
ALB;EUR
ALB;WLD
ALB;DVG
ARG;LAC
ARG;WLD
ARG;DVG
ARM;FSU
ARM;WLD
ARM;DVG
AUS;EAP
AUS;WLD
AUS;DVD
AUT;EUR
AUT;WLD
AUT;DVD
AZE;FSU
AZE;WLD
AZE;DVG
BDI;SSA
BDI;WLD
BDI;DVG
BEN;SSA
BEN;WLD
BEN;DVG
BFA;SSA
BFA;WLD
BFA;DVG
BGD;SAS
BGD;WLD
BGD;DVG
BGR;EUR
BGR;WLD
BGR;DVG
BLR;FSU
BLR;WLD
BLR;DVG
BLT;EUR
BLT;WLD
BLT;DVD
BLX;EUR
BLX;WLD
BLX;DVD
BLZ;LAC
BLZ;WLD
BLZ;DVG
BOL;LAC
BOL;WLD
BOL;DVG
BRA;LAC
BRA;WLD
BRA;DVG
BTN;SAS
BTN;WLD
BTN;DVG
BWA;SSA
BWA;WLD
BWA;DVG
CAF;SSA
CAF;WLD
CAF;DVG
CAN;NAM
CAN;WLD
CAN;DVD
CHL;LAC
CHL;WLD
CHL;DVG
CHM;EAP
CHM;WLD
CHM;DVG
CHP;EUR
CHP;WLD
CHP;DVD
CIV;SSA
CIV;WLD
CIV;DVG
CMR;SSA
CMR;WLD
CMR;DVG
COD;SSA
COD;WLD
COD;DVG
COG;SSA
COG;WLD
COG;DVG
COL;LAC
COL;WLD
COL;DVG
CRB;LAC
CRB;WLD
CRB;DVG
CRI;LAC
CRI;WLD
CRI;DVG
CUB;LAC
CUB;WLD
CUB;DVG
CYP;EUR
CYP;WLD
CYP;DVD
CZE;EUR
CZE;WLD
CZE;DVD
DEU;EUR
DEU;WLD
DEU;DVD
DJI;SSA
DJI;WLD
DJI;DVG
DNK;EUR
DNK;WLD
DNK;DVD
DOM;LAC
DOM;WLD
DOM;DVG
DZA;MEN
DZA;WLD
DZA;DVG
ECU;LAC
ECU;WLD
ECU;DVG
EGY;MEN
EGY;WLD
EGY;DVG
ERI;SSA
ERI;WLD
ERI;DVG
ETH;SSA
ETH;WLD
ETH;DVG
FJI;EAP
FJI;WLD
FJI;DVG
FNP;EUR
FNP;WLD
FNP;DVD
FRP;EUR
FRP;WLD
FRP;DVD
GAB;SSA
GAB;WLD
GAB;DVG
GEO;FSU
GEO;WLD
GEO;DVG
GHA;SSA
GHA;WLD
GHA;DVG
GIN;SSA
GIN;WLD
GIN;DVG
GMB;SSA
GMB;WLD
GMB;DVG
GNB;SSA
GNB;WLD
GNB;DVG
GNQ;SSA
GNQ;WLD
GNQ;DVG
GRC;EUR
GRC;WLD
GRC;DVD
GRL;NAM
GRL;WLD
GRL;DVD
GSA;LAC
GSA;WLD
GSA;DVG
GTM;LAC
GTM;WLD
GTM;DVG
HND;LAC
HND;WLD
HND;DVG
HRV;EUR
HRV;WLD
HRV;DVD
HTI;LAC
HTI;WLD
HTI;DVG
HUN;EUR
HUN;WLD
HUN;DVD
IDN;EAP
IDN;WLD
IDN;DVG
IND;SAS
IND;WLD
IND;DVG
IRL;EUR
IRL;WLD
IRL;DVD
IRN;MEN
IRN;WLD
IRN;DVG
IRQ;MEN
IRQ;WLD
IRQ;DVG
ISL;EUR
ISL;WLD
ISL;DVD
ISR;MEN
ISR;WLD
ISR;DVD
ITP;EUR
ITP;WLD
ITP;DVD
JAM;LAC
JAM;WLD
JAM;DVG
JOR;MEN
JOR;WLD
JOR;DVG
JPN;EAP
JPN;WLD
JPN;DVD
KAZ;FSU
KAZ;WLD
KAZ;DVG
KEN;SSA
KEN;WLD
KEN;DVG
KGZ;FSU
KGZ;WLD
KGZ;DVG
KHM;EAP
KHM;WLD
KHM;DVG
KOR;EAP
KOR;WLD
KOR;DVD
LAO;EAP
LAO;WLD
LAO;DVG
LBN;MEN
LBN;WLD
LBN;DVG
LBR;SSA
LBR;WLD
LBR;DVG
LBY;MEN
LBY;WLD
LBY;DVG
LKA;SAS
LKA;WLD
LKA;DVG
LSO;SSA
LSO;WLD
LSO;DVG
MDA;FSU
MDA;WLD
MDA;DVG
MDG;SSA
MDG;WLD
MDG;DVG
MEX;LAC
MEX;WLD
MEX;DVG
MLI;SSA
MLI;WLD
MLI;DVG
MMR;EAP
MMR;WLD
MMR;DVG
MNG;EAP
MNG;WLD
MNG;DVG
MOR;MEN
MOR;WLD
MOR;DVG
MOZ;SSA
MOZ;WLD
MOZ;DVG
MRT;MEN
MRT;WLD
MRT;DVG
MWI;SSA
MWI;WLD
MWI;DVG
MYS;EAP
MYS;WLD
MYS;DVG
NAM;SSA
NAM;WLD
NAM;DVG
NER;SSA
NER;WLD
NER;DVG
NGA;SSA
NGA;WLD
NGA;DVG
NIC;LAC
NIC;WLD
NIC;DVG
NLD;EUR
NLD;WLD
NLD;DVD
NOR;EUR
NOR;WLD
NOR;DVD
NPL;SAS
NPL;WLD
NPL;DVG
NZL;EAP
NZL;WLD
NZL;DVD
OAO;SSA
OAO;WLD
OAO;DVG
OBN;EUR
OBN;WLD
OBN;DVD
OIO;EAP
OIO;WLD
OIO;DVG
OPO;EAP
OPO;WLD
OPO;DVG
OSA;EAP
OSA;WLD
OSA;DVG
PAK;SAS
PAK;WLD
PAK;DVG
PAN;LAC
PAN;WLD
PAN;DVG
PER;LAC
PER;WLD
PER;DVG
PHL;EAP
PHL;WLD
PHL;DVG
PNG;EAP
PNG;WLD
PNG;DVG
POL;EUR
POL;WLD
POL;DVD
PRK;EAP
PRK;WLD
PRK;DVG
PRT;EUR
PRT;WLD
PRT;DVD
PRY;LAC
PRY;WLD
PRY;DVG
PSE;MEN
PSE;WLD
PSE;DVG
RAP;MEN
RAP;WLD
RAP;DVD
ROU;EUR
ROU;WLD
ROU;DVG
RUS;FSU
RUS;WLD
RUS;DVG
RWA;SSA
RWA;WLD
RWA;DVG
SAU;MEN
SAU;WLD
SAU;DVD
SDN;SSA
SDN;WLD
SDN;DVG
SEN;SSA
SEN;WLD
SEN;DVG
SLB;EAP
SLB;WLD
SLB;DVG
SLE;SSA
SLE;WLD
SLE;DVG
SLV;LAC
SLV;WLD
SLV;DVG
SOM;SSA
SOM;WLD
SOM;DVG
SPP;EUR
